id,name,description,image,link,due_date,creator_customer_login
645c3452-4d1d-11e8-9362-2f68b87414ca,PC,Game PC,,,2018-05-04,customer3
dddfba2c-bf4e-4be4-a2be-246c8469cb31,cat,Very funny cat,,,2018-05-04,viktor
e5b3459a-4ed0-11e8-bac5-4f18652b58f9,something,I don't know what i want,,http://endless.horse/,2018-05-04,viktor
e75b6c78-4ecc-11e8-90c0-4b33d264da64,ring,I am a Lord Of The Rings!!,,,2018-05-04,customer2
e89ee14e-4ece-11e8-879a-0f58fc6e13b3,money,No comments,,,2018-05-04,customer2
bbbd1b30-4ed5-11e8-b5e4-57c18765dd16,car,Porsche 911,,http://thatsthefinger.com/,2018-05-04,viktor
cd85a5e3-c5b5-429f-8c01-5ff43d687389,smartphone,iPhone 10,,,2018-05-04,customer3
d21d1c0a-4afb-11e8-ab02-dbb44e893130,book,Stranger by King,,http://www.rrrgggbbb.com/,2018-05-04,customer3
d98c04f0-4ed0-11e8-bd7c-2b4a723c971d,laptop,MacBook Air,,,2018-05-04,customer3
e9e7e8a6-4ed4-11e8-917a-5fd6f93e408a,dog,Dead machine,,http://www.fallingfalling.com/,2018-05-04,customer2
ed5c590e-4ecf-11e8-abf1-dfc972915f38,skate,Cool skate. Very cool!,,,2018-05-04,viktor
2416d67c-4ecb-11e8-80bd-5f4c1c2e1f37,meat,,,https://www.youtube.com/watch?v=9iHM6X6uUH8,2018-05-04,viktor
3d418372-4ecb-11e8-871f-374a616422c4,wine,,,http://weirdorconfusing.com/,2018-05-04,customer3
38ee6716-4afe-11e8-ab03-670b6383653f,jeans,Levis 511,,http://cant-not-tweet-this.com/,2018-05-04,viktor
442fb6e1-64fb-4268-bc53-b4af62127380,snowboard,Not cheap,,,2018-05-04,customer3
685f818a-4d1d-11e8-9364-bfcca26895bf,toy,Plush parrot,,http://eelslap.com/,2018-05-04,viktor
664b49b0-4d1d-11e8-9363-b748c8f400e9,ItemName9,ItemDescription9,,https://www.ebay.com/p/Play-Visions-450-Nose-Aerobics-Game-Discontinued-by-Manufacturer/1510381887?_trksid=p2047675.m4097.l9055,2018-05-04,viktor
6ae52e0a-4ed5-11e8-becc-633b6d5d2a94,cat,,,,2018-05-04,customer2
6accee62-4d1d-11e8-9365-e7fe2bda632e,diamond skull,Like as Indiana Jones,,http://heeeeeeeey.com/,2018-05-04,customer2
76552a70-4ede-11e8-942c-3f7768b69ad3,SD card,128 Gb,,,2018-05-04,viktor
6ffeb6e5-724c-4be5-8388-99ef1408a1aa,headphones,Skullcandy BR-13,,,2018-05-04,viktor
7f66de63-ea05-43a1-83b0-b58d6e175692,Manual created item. Name,Manual created item. Description,,,2018-05-04,customer3
7a7a3518-4ed5-11e8-a5ec-072674507b4c,table,wood table,,http://burymewithmymoney.com/,2018-05-04,customer3
9fc9764a-4afb-11e8-ab01-937907d0bce2,printer,HP,,http://tinytuba.com/,2018-05-04,viktor
84bece68-d061-4e60-848b-1c17db96284c,Second Manual created item. Name,Second Manual created item. Description,,,2018-05-07,customer3
b18cedca-4ed0-11e8-ae48-f3a8aa9f293e,disk,any game,,,2018-05-04,viktor
b18b89c6-4ed5-11e8-a25b-d745b6bc2940,router,TP-Link,,,2018-05-04,viktor
f211291e-4ed6-11e8-a01d-13d660051480,spider,"No, don''t do it)",,http://www.trypap.com/,2018-05-04,viktor
04412432-4ed1-11e8-8dd3-9b132f9fce1c,book,Java for dummies,"https://images-na.ssl-images-amazon.com/images/I/51KmqPgtZnL._SX258_BO1,204,203,200_.jpg",https://www.amazon.co.uk/Java-Dummies-Barry-Burd/dp/0470087161,2018-05-04,viktor
